iterations	Pair	pop1	pop2	proj1	proj2
50	NC109A.VA111	NC109A	VA111	8	14
50	NC109A.VA131L	NC109A	VA131L	8	20
50	NC109A.VA73	NC109A	VA73	8	16
50	NC109A.VA85	NC109A	VA85	8	6
50	NC109A.VA86	NC109A	VA86	8	10
50	NC109A.VA93	NC109A	VA93	8	6
50	NC109E.NC110	NC109E	NC110	20	10
50	NC109E.NC91	NC109E	NC91	20	16
50	NC109E.OH64	NC109E	OH64	20	16
50	NC109E.PA101	NC109E	PA101	20	24
50	NC109E.PA102	NC109E	PA102	20	22
50	NC109E.PA103	NC109E	PA103	20	8
50	NC109E.PA104	NC109E	PA104	20	22
50	NC109E.PA94	NC109E	PA94	20	14
50	NC109E.PA95	NC109E	PA95	20	10
50	NC109E.PA27	NC109E	PA27	20	10
50	NC109E.TN92	NC109E	TN92	20	14
50	NC109E.VA111	NC109E	VA111	20	14
50	NC109E.VA131L	NC109E	VA131L	20	20
50	NC109E.VA73	NC109E	VA73	20	16
50	NC109E.VA85	NC109E	VA85	20	6
50	NC109E.VA86	NC109E	VA86	20	10
50	NC109E.VA93	NC109E	VA93	20	6
50	NC110.NC91	NC110	NC91	10	16
50	NC110.OH64	NC110	OH64	10	16
50	NC110.PA101	NC110	PA101	10	24
50	NC110.PA102	NC110	PA102	10	22
50	NC110.PA103	NC110	PA103	10	8
50	NC110.PA104	NC110	PA104	10	22
50	NC110.PA94	NC110	PA94	10	14
50	NC110.PA95	NC110	PA95	10	10
50	NC110.PA27	NC110	PA27	10	10
50	NC110.TN92	NC110	TN92	10	14
50	NC110.VA111	NC110	VA111	10	14
50	NC110.VA131L	NC110	VA131L	10	20
50	NC110.VA73	NC110	VA73	10	16
50	NC110.VA85	NC110	VA85	10	6
50	NC110.VA86	NC110	VA86	10	10
50	NC110.VA93	NC110	VA93	10	6
50	NC91.OH64	NC91	OH64	16	16
50	NC91.PA101	NC91	PA101	16	24
50	NC91.PA102	NC91	PA102	16	22
50	NC91.PA103	NC91	PA103	16	8
50	NC91.PA104	NC91	PA104	16	22
50	NC91.PA94	NC91	PA94	16	14
50	NC91.PA95	NC91	PA95	16	10
50	NC91.PA27	NC91	PA27	16	10
50	NC91.TN92	NC91	TN92	16	14
50	NC91.VA111	NC91	VA111	16	14
50	NC91.VA131L	NC91	VA131L	16	20
50	NC91.VA73	NC91	VA73	16	16
50	NC91.VA85	NC91	VA85	16	6
50	NC91.VA86	NC91	VA86	16	10
50	NC91.VA93	NC91	VA93	16	6
50	OH64.PA101	OH64	PA101	16	24
50	OH64.PA102	OH64	PA102	16	22
50	OH64.PA103	OH64	PA103	16	8
50	OH64.PA104	OH64	PA104	16	22
50	OH64.PA94	OH64	PA94	16	14
50	OH64.PA95	OH64	PA95	16	10
50	OH64.PA27	OH64	PA27	16	10
50	OH64.TN92	OH64	TN92	16	14
50	OH64.VA111	OH64	VA111	16	14
50	OH64.VA131L	OH64	VA131L	16	20
50	OH64.VA73	OH64	VA73	16	16
50	OH64.VA85	OH64	VA85	16	6
50	OH64.VA86	OH64	VA86	16	10
50	OH64.VA93	OH64	VA93	16	6
50	PA101.PA102	PA101	PA102	24	22
50	PA101.PA103	PA101	PA103	24	8
50	PA101.PA104	PA101	PA104	24	22
50	PA101.PA94	PA101	PA94	24	14
50	PA101.PA95	PA101	PA95	24	10
50	PA101.PA27	PA101	PA27	24	10
50	PA101.TN92	PA101	TN92	24	14
50	PA101.VA111	PA101	VA111	24	14
50	PA101.VA131L	PA101	VA131L	24	20
50	PA101.VA73	PA101	VA73	24	16
50	PA101.VA85	PA101	VA85	24	6
50	PA101.VA86	PA101	VA86	24	10
50	PA101.VA93	PA101	VA93	24	6
50	PA102.PA103	PA102	PA103	22	8
50	PA102.PA104	PA102	PA104	22	22
50	PA102.PA94	PA102	PA94	22	14
50	PA102.PA95	PA102	PA95	22	10
50	PA102.PA27	PA102	PA27	22	10
50	PA102.TN92	PA102	TN92	22	14
50	PA102.VA111	PA102	VA111	22	14
50	PA102.VA131L	PA102	VA131L	22	20
50	PA102.VA73	PA102	VA73	22	16
50	PA102.VA85	PA102	VA85	22	6
50	PA102.VA86	PA102	VA86	22	10
50	PA102.VA93	PA102	VA93	22	6
50	PA103.PA104	PA103	PA104	8	22
50	PA103.PA94	PA103	PA94	8	14
50	PA103.PA95	PA103	PA95	8	10
50	PA103.PA27	PA103	PA27	8	10
50	PA103.TN92	PA103	TN92	8	14
50	PA103.VA111	PA103	VA111	8	14
50	PA103.VA131L	PA103	VA131L	8	20
50	PA103.VA73	PA103	VA73	8	16
50	PA103.VA85	PA103	VA85	8	6
50	PA103.VA86	PA103	VA86	8	10
50	PA103.VA93	PA103	VA93	8	6
50	PA104.PA94	PA104	PA94	22	14
50	PA104.PA95	PA104	PA95	22	10
50	PA104.PA27	PA104	PA27	22	10
50	PA104.TN92	PA104	TN92	22	14
50	PA104.VA111	PA104	VA111	22	14
50	PA104.VA131L	PA104	VA131L	22	20
50	PA104.VA73	PA104	VA73	22	16
50	PA104.VA85	PA104	VA85	22	6
50	PA104.VA86	PA104	VA86	22	10
50	PA104.VA93	PA104	VA93	22	6
50	PA94.PA95	PA94	PA95	10	10
50	PA94.PA27	PA94	PA27	10	10
50	PA94.TN92	PA94	TN92	10	14
50	PA94.VA111	PA94	VA111	10	14
50	PA94.VA131L	PA94	VA131L	10	20
50	PA94.VA73	PA94	VA73	10	16
50	PA94.VA85	PA94	VA85	10	6
50	PA94.VA86	PA94	VA86	10	10
50	PA94.VA93	PA94	VA93	10	6
50	PA95.PA27	PA95	PA27	10	10
50	PA95.TN92	PA95	TN92	10	14
50	PA95.VA111	PA95	VA111	10	14
50	PA95.VA131L	PA95	VA131L	10	20
50	PA95.VA73	PA95	VA73	10	16
50	PA95.VA85	PA95	VA85	10	6
50	PA95.VA86	PA95	VA86	10	10
50	PA95.VA93	PA95	VA93	10	6
50	PA27.TN92	PA27	TN92	14	14
50	PA27.VA111	PA27	VA111	14	14
50	PA27.VA131L	PA27	VA131L	14	20
50	PA27.VA73	PA27	VA73	14	16
50	PA27.VA85	PA27	VA85	14	6
50	PA27.VA86	PA27	VA86	14	10
50	PA27.VA93	PA27	VA93	14	6
50	TN92.VA111	TN92	VA111	14	14
50	TN92.VA131L	TN92	VA131L	14	20
50	TN92.VA73	TN92	VA73	14	16
50	TN92.VA85	TN92	VA85	14	6
50	TN92.VA86	TN92	VA86	14	10
50	TN92.VA93	TN92	VA93	14	6
50	VA111.VA131L	VA111	VA131L	14	20
50	VA111.VA73	VA111	VA73	14	16
50	VA111.VA85	VA111	VA85	14	6
50	VA111.VA86	VA111	VA86	14	10
50	VA111.VA93	VA111	VA93	14	6
50	VA131L.VA73	VA131L	VA73	20	16
50	VA131L.VA85	VA131L	VA85	20	6
50	VA131L.VA86	VA131L	VA86	20	10
50	VA131L.VA93	VA131L	VA93	20	6
50	VA73.VA85	VA73	VA85	16	6
50	VA73.VA86	VA73	VA86	16	10
50	VA73.VA93	VA73	VA93	16	6
50	VA85.VA86	VA85	VA86	6	10
50	VA85.VA93	VA85	VA93	6	6
50	VA86.VA93	VA86	VA93	10	6
